#Fent servir el metode de Euler amb x0=1.000000 , y0=1.000000, z0=1.000000, sigma=10.000000, b=2.666667, r=350.000000, Tmax=100.000000, h=0.010000 ,obtenim els resultats: 
#Temps 			 X 			 Y 			 Z 			 X^2 
0.000000 		 1.000000 		 4.480000 		 0.983333 		 1.000000
0.710000 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
0.720000 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
0.730000 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
0.740000 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
0.750000 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
0.760000 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
0.770000 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
0.780000 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
0.790000 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
0.800000 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
0.810000 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
0.820000 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
0.830000 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
0.839999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
0.849999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
0.859999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
0.869999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
0.879999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
0.889999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
